panel-przyd,widz,wiek1,prez2-przyd,panel-future,znajomosc,meetup,freq2,prez1-przyd,druk,temat,freq1,sex,prez2-przyst,prez1-przyst,wiek2,skad,cel,ang,panel-przyst
,"Tak, na żywo",31-40,5,,ukończyłam/ukończyłem tutorial podstaw Pythona;robię obecnie kurs typu bootcamp;używam Pythona hobbystycznie;nie jestem na / po studiach informatycznych,001,,2,,,,Mężczyzna,5,5,,na spotkaniu PyWaw,"nauka (obliczenia, wizualizacja danych);Machine Learning i AI (obliczenia, statystyka, algorytmy);tworzenie gier",Tak,
,Nie,18-30,,,jeszcze nic nie wiem,001,,,,,,Kobieta,,,,na facebooku,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Nie,
,Nie,18-30,,,ukończyłam/ukończyłem tutorial podstaw Pythona;znam inny język programowania;jestem na / po studiach informatycznych,001,,,,,,Mężczyzna,,,,na facebooku,"nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,Nie,18-30,,,jeszcze nic nie wiem,001,,,,,,Kobieta,,,,na facebooku,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
,Nie,41-50,,,robię obecnie tutorial podstaw Pythona,001,,,,,,Mężczyzna,,,,na facebooku,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
,"Tak, na żywo",18-30,3,,robię obecnie tutorial podstaw Pythona;nie jestem na / po studiach informatycznych,001,,5,,,,Kobieta,1,5,,od kogoś z teamu PyLight,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
,Nie,31-40,,,ukończyłam/ukończyłem tutorial podstaw Pythona;używam Pythona hobbystycznie;znam inny język programowania,001,,,,,,Kobieta,,,,na facebooku,"web (back-end, web scraping, boty)",Tak,
,Nie,31-40,,,używam Pythona hobbystycznie;nie jestem na / po studiach informatycznych,001,,,,,,Kobieta,,,,na facebooku,"nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych);Machine Learning i AI (obliczenia, statystyka, algorytmy)",Tak,
,Nie,41-50,,,robię obecnie tutorial podstaw Pythona,001,,,,,,Mężczyzna,,,,na facebooku,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Nie,
,"Tak, na Youtube",18-30,5,,ukończyłam/ukończyłem tutorial podstaw Pythona,001,,1,,,,Kobieta,5,5,,na warsztatach DjangoGirlsWarsaw,"nie mam na razie preferencji, najpierw chcę poznać podstawy;nauka (obliczenia, wizualizacja danych)",Tak,
,"Tak, na Youtube",18-30,5,,robię obecnie kurs typu bootcamp,001,,4,,,,Kobieta,4,5,,na facebooku,"web (back-end, web scraping, boty);data science (statystyka, wizualizacja danych, duże zbiory danych)",Tak,
,"Tak, na Youtube",18-30,1,,ukończyłam/ukończyłem tutorial podstaw Pythona;nie jestem na / po studiach informatycznych,001,,2,,,,Mężczyzna,3,5,,na facebooku,"web (back-end, web scraping, boty);nauka (obliczenia, wizualizacja danych);data science (statystyka, wizualizacja danych, duże zbiory danych)",Tak,
,Nie,18-30,,,jeszcze nic nie wiem,001,,,,,,Kobieta,,,,na facebooku,"nie mam na razie preferencji, najpierw chcę poznać podstawy",Tak,
